,Date,From,To,Fuel Daily Consumption,Opening Fuel Tank Sounding,Closing Fuel Tank Sounding,Fuel Tank Stock After
1,13.0,2.0,2.0,46.0,23.6,22.6,980
2,13.0,1.0,0.0,46.0,23.6,22.6,980
3,13.0,2.0,2.0,46.0,23.6,22.6,980
4,13.0,0.0,1.0,46.0,23.6,22.6,980
5,13.0,1.0,0.0,46.0,23.6,22.6,980
6,13.0,0.0,1.0,46.0,23.6,22.6,980
7,13.0,2.0,2.0,46.0,23.6,22.6,980
8,13.0,1.0,0.0,46.0,23.6,22.6,980
9,13.0,2.0,2.0,46.0,23.6,22.6,980
11,13.0,1.0,0.0,46.0,23.6,22.6,980
12,14.0,0.0,1.0,50.6,22.6,21.5,929
13,14.0,2.0,2.0,50.6,22.6,21.5,929
14,14.0,1.0,0.0,50.6,22.6,21.5,929
15,14.0,2.0,2.0,50.6,22.6,21.5,929
16,14.0,0.0,1.0,50.6,22.6,21.5,929
17,14.0,1.0,0.0,50.6,22.6,21.5,929
18,14.0,0.0,1.0,50.6,22.6,21.5,929
19,14.0,2.0,2.0,50.6,22.6,21.5,929
20,14.0,1.0,0.0,50.6,22.6,21.5,929
21,14.0,2.0,2.0,50.6,22.6,21.5,929
22,14.0,0.0,1.0,50.6,22.6,21.5,929
23,14.0,1.0,0.0,50.6,22.6,21.5,929
24,15.0,0.0,1.0,55.2,21.5,20.3,874
25,15.0,2.0,2.0,55.2,21.5,20.3,874
26,15.0,1.0,0.0,55.2,21.5,20.3,874
27,15.0,2.0,2.0,55.2,21.5,20.3,874
28,15.0,0.0,1.0,55.2,21.5,20.3,874
29,15.0,1.0,0.0,55.2,21.5,20.3,874
30,15.0,0.0,1.0,55.2,21.5,20.3,874
31,15.0,2.0,2.0,55.2,21.5,20.3,874
32,15.0,1.0,0.0,55.2,21.5,20.3,874
33,15.0,2.0,2.0,55.2,21.5,20.3,874
34,15.0,0.0,1.0,55.2,21.5,20.3,874
35,15.0,1.0,0.0,55.2,21.5,20.3,874
36,16.0,0.0,1.0,50.6,20.3,19.2,824
37,16.0,2.0,2.0,50.6,20.3,19.2,824
38,16.0,1.0,0.0,50.6,20.3,19.2,824
39,16.0,2.0,2.0,50.6,20.3,19.2,824
40,16.0,0.0,1.0,50.6,20.3,19.2,824
41,16.0,1.0,0.0,50.6,20.3,19.2,824
42,16.0,0.0,1.0,50.6,20.3,19.2,824
43,16.0,2.0,2.0,50.6,20.3,19.2,824
44,16.0,1.0,0.0,50.6,20.3,19.2,824
45,16.0,2.0,2.0,50.6,20.3,19.2,824
46,16.0,0.0,1.0,50.6,20.3,19.2,824
47,16.0,1.0,0.0,50.6,20.3,19.2,824
48,17.0,0.0,1.0,55.2,19.2,18.0,768
49,17.0,2.0,2.0,55.2,19.2,18.0,768
50,17.0,1.0,0.0,55.2,19.2,18.0,768
51,17.0,2.0,2.0,55.2,19.2,18.0,768
52,17.0,0.0,1.0,55.2,19.2,18.0,768
53,17.0,1.0,0.0,55.2,19.2,18.0,768
54,17.0,0.0,1.0,55.2,19.2,18.0,768
55,17.0,2.0,2.0,55.2,19.2,18.0,768
56,17.0,1.0,0.0,55.2,19.2,18.0,768
57,17.0,2.0,2.0,55.2,19.2,18.0,768
