,Date,From,To,Fuel Daily Consumption,Opening Fuel Tank Sounding,Closing Fuel Tank Sounding,Fuel Tank Stock After,Fuel Capacity
1,13.0,2.0,2.0,46.0,23.6,22.6,980,1
2,13.0,1.0,0.0,46.0,23.6,22.6,980,1
3,13.0,2.0,2.0,46.0,23.6,22.6,980,1
4,13.0,0.0,1.0,46.0,23.6,22.6,980,1
5,13.0,1.0,0.0,46.0,23.6,22.6,980,1
6,13.0,0.0,1.0,46.0,23.6,22.6,980,1
7,13.0,2.0,2.0,46.0,23.6,22.6,980,1
8,13.0,1.0,0.0,46.0,23.6,22.6,980,1
9,13.0,2.0,2.0,46.0,23.6,22.6,980,1
11,13.0,1.0,0.0,46.0,23.6,22.6,980,1
12,14.0,0.0,1.0,50.6,22.6,21.5,929,1
13,14.0,2.0,2.0,50.6,22.6,21.5,929,1
14,14.0,1.0,0.0,50.6,22.6,21.5,929,1
15,14.0,2.0,2.0,50.6,22.6,21.5,929,1
16,14.0,0.0,1.0,50.6,22.6,21.5,929,1
17,14.0,1.0,0.0,50.6,22.6,21.5,929,1
18,14.0,0.0,1.0,50.6,22.6,21.5,929,1
19,14.0,2.0,2.0,50.6,22.6,21.5,929,1
20,14.0,1.0,0.0,50.6,22.6,21.5,929,1
21,14.0,2.0,2.0,50.6,22.6,21.5,929,1
22,14.0,0.0,1.0,50.6,22.6,21.5,929,1
23,14.0,1.0,0.0,50.6,22.6,21.5,929,1
24,15.0,0.0,1.0,55.2,21.5,20.3,874,1
25,15.0,2.0,2.0,55.2,21.5,20.3,874,1
26,15.0,1.0,0.0,55.2,21.5,20.3,874,1
27,15.0,2.0,2.0,55.2,21.5,20.3,874,1
28,15.0,0.0,1.0,55.2,21.5,20.3,874,1
29,15.0,1.0,0.0,55.2,21.5,20.3,874,1
30,15.0,0.0,1.0,55.2,21.5,20.3,874,1
31,15.0,2.0,2.0,55.2,21.5,20.3,874,1
32,15.0,1.0,0.0,55.2,21.5,20.3,874,1
33,15.0,2.0,2.0,55.2,21.5,20.3,874,1
34,15.0,0.0,1.0,55.2,21.5,20.3,874,1
35,15.0,1.0,0.0,55.2,21.5,20.3,874,1
36,16.0,0.0,1.0,50.6,20.3,19.2,824,0
37,16.0,2.0,2.0,50.6,20.3,19.2,824,0
38,16.0,1.0,0.0,50.6,20.3,19.2,824,0
39,16.0,2.0,2.0,50.6,20.3,19.2,824,0
40,16.0,0.0,1.0,50.6,20.3,19.2,824,0
41,16.0,1.0,0.0,50.6,20.3,19.2,824,0
42,16.0,0.0,1.0,50.6,20.3,19.2,824,0
43,16.0,2.0,2.0,50.6,20.3,19.2,824,0
44,16.0,1.0,0.0,50.6,20.3,19.2,824,0
45,16.0,2.0,2.0,50.6,20.3,19.2,824,0
46,16.0,0.0,1.0,50.6,20.3,19.2,824,0
47,16.0,1.0,0.0,50.6,20.3,19.2,824,0
48,17.0,0.0,1.0,55.2,19.2,18.0,768,0
49,17.0,2.0,2.0,55.2,19.2,18.0,768,0
50,17.0,1.0,0.0,55.2,19.2,18.0,768,0
51,17.0,2.0,2.0,55.2,19.2,18.0,768,0
52,17.0,0.0,1.0,55.2,19.2,18.0,768,0
53,17.0,1.0,0.0,55.2,19.2,18.0,768,0
54,17.0,0.0,1.0,55.2,19.2,18.0,768,0
55,17.0,2.0,2.0,55.2,19.2,18.0,768,0
56,17.0,1.0,0.0,55.2,19.2,18.0,768,0
57,17.0,2.0,2.0,55.2,19.2,18.0,768,0
58,17.0,0.0,1.0,55.2,19.2,18.0,768,0
59,17.0,1.0,0.0,55.2,19.2,18.0,768,0
60,18.0,0.0,1.0,50.6,18.0,16.9,718,0
61,18.0,2.0,2.0,50.6,18.0,16.9,718,0
62,18.0,1.0,0.0,50.6,18.0,16.9,718,0
63,18.0,2.0,2.0,50.6,18.0,16.9,718,0
64,18.0,0.0,1.0,50.6,18.0,16.9,718,0
65,18.0,1.0,0.0,50.6,18.0,16.9,718,0
66,18.0,0.0,1.0,50.6,18.0,16.9,718,0
67,18.0,2.0,2.0,50.6,18.0,16.9,718,0
68,18.0,1.0,0.0,50.6,18.0,16.9,718,0
69,18.0,2.0,2.0,50.6,18.0,16.9,718,0
70,18.0,0.0,1.0,50.6,18.0,16.9,718,0
75,20.0,0.0,1.0,55.2,16.5,15.3,644,0
76,20.0,2.0,2.0,55.2,16.5,15.3,644,0
77,20.0,1.0,0.0,55.2,16.5,15.3,644,0
78,20.0,2.0,2.0,55.2,16.5,15.3,644,0
