Date,From,To,Start ME,Stop ME,Running Minutes,Fuel Daily Consumption,Opening Fuel Tank Sounding,Closing Fuel Tank Sounding,Fuel Tank Stock After
13-05-2023,PSTB,Somber,4:55:00,5:36:00,0:41,46,23.6,22.6,980
13-05-2023,Running ME/Stand by,Running ME/Stand by,5:36:00,5:40:00,0:04,46,23.6,22.6,980
13-05-2023,SOMBER,PSTB,5:40:00,6:15:00,0:35,46,23.6,22.6,980
13-05-2023,Running ME/Stand by,Running ME/Stand by,6:15:00,6:20:00,0:05,46,23.6,22.6,980
13-05-2023,PSTB,SOMBER,6:20:00,7:00:00,0:40,46,23.6,22.6,980
13-05-2023,SOMBER,PSTB,7:40:00,8:30:00,0:50,46,23.6,22.6,980
13-05-2023,PSTB,SOMBER,16:55:00,17:35:00,0:40,46,23.6,22.6,980
13-05-2023,Running ME/Stand by,Running ME/Stand by,17:35:00,17:40:00,0:05,46,23.6,22.6,980
13-05-2023,SOMBER,PSTB,17:40:00,18:15:00,0:35,46,23.6,22.6,980
13-05-2023,Running ME/Stand by,Running ME/Stand by,18:15:00,18:20:00,0:05,46,23.6,22.6,980
13-05-2023,PSTB,Somber,18:20:00,18:55:00,0:35,46,23.6,22.6,980
13-05-2023,SOMBER,PSTB,19:40:00,20:17:00,0:37,46,23.6,22.6,980
14-05-2023,PSTB,SOMBER,4:55:00,5:35:00,0:40,50.6,22.6,21.5,929
14-05-2023,Running ME/Stand by,Running ME/Stand by,5:35:00,5:40:00,0:05,50.6,22.6,21.5,929
14-05-2023,SOMBER,PSTB,5:40:00,6:15:00,0:35,50.6,22.6,21.5,929
14-05-2023,Running ME/Stand by,Running ME/Stand by,6:15:00,6:20:00,0:05,50.6,22.6,21.5,929
14-05-2023,PSTB,SOMBER,6:20:00,7:00:00,0:40,50.6,22.6,21.5,929
14-05-2023,SOMBER,PSTB,7:45:00,8:35:00,0:50,50.6,22.6,21.5,929
14-05-2023,PSTB,SOMBER,16:55:00,17:35:00,0:40,50.6,22.6,21.5,929
14-05-2023,Running ME/Stand by,Running ME/Stand by,17:35:00,17:40:00,0:05,50.6,22.6,21.5,929
14-05-2023,SOMBER,PSTB,17:40:00,18:10:00,0:30,50.6,22.6,21.5,929
14-05-2023,Running ME/Stand by,Running ME/Stand by,18:10:00,18:15:00,0:05,50.6,22.6,21.5,929
14-05-2023,PSTB,SOMBER,18:15:00,18:50:00,0:35,50.6,22.6,21.5,929
14-05-2023,SOMBER,PSTB,19:30:00,20:13:00,0:43,50.6,22.6,21.5,929
15-05-2023,PSTB,SOMBER,4:55:00,5:35:00,0:40,55.2,21.5,20.3,874
15-05-2023,Running ME/Stand by,Running ME/Stand by,5:35:00,5:40:00,0:05,55.2,21.5,20.3,874
15-05-2023,SOMBER,PSTB,5:40:00,6:10:00,0:30,55.2,21.5,20.3,874
15-05-2023,Running ME/Stand by,Running ME/Stand by,6:10:00,6:15:00,0:05,55.2,21.5,20.3,874
15-05-2023,PSTB,SOMBER,6:15:00,6:50:00,0:35,55.2,21.5,20.3,874
15-05-2023,SOMBER,PSTB,7:40:00,8:20:00,0:40,55.2,21.5,20.3,874
15-05-2023,PSTB,SOMBER,16:50:00,17:25:00,0:35,55.2,21.5,20.3,874
15-05-2023,Running ME/Stand by,Running ME/Stand by,17:25:00,17:30:00,0:05,55.2,21.5,20.3,874
15-05-2023,SOMBER,PSTB,17:30:00,17:58:00,0:28,55.2,21.5,20.3,874
15-05-2023,Running ME/Stand by,Running ME/Stand by,17:58:00,18:05:00,0:07,55.2,21.5,20.3,874
15-05-2023,PSTB,SOMBER,18:05:00,18:37:00,0:32,55.2,21.5,20.3,874
15-05-2023,SOMBER,PSTB,19:40:00,20:23:00,0:43,55.2,21.5,20.3,874
